year,month,date,value
2002,8,15,126.02
2002,8,16,124.08
2002,8,17,85.71
2002,8,18,89.37
2002,8,19,95.01
2002,8,20,56.34
2002,8,21,58.75
2002,8,22,91.29
2002,8,23,120.91
2002,8,24,99.16
2002,8,25,94.59
2002,8,26,102.45
2002,8,27,116.71
2002,8,28,114.22
2002,8,29,109.8
2002,8,30,122.85
2002,8,31,117.2
2002,9,1,101.49
2002,9,2,111.08
2002,9,3,90.43
2002,9,4,82.8
2002,9,5,49.43
2002,9,6,32.47
2002,9,7,60.63
2002,9,8,58.62
2002,9,9,57.48
2002,9,10,62.48
2002,9,11,70.75
2002,9,12,47.35
2002,9,13,29.41
2002,9,14,107.6
2002,9,15,97.88
2002,9,16,68.43
2002,9,17,102.34
2002,9,18,102.3
2002,9,19,107.92
2002,9,20,119.41
2002,9,21,110.41
2002,9,22,85.41
2002,9,23,67.35
2002,9,24,86.68
2002,9,25,103.2
2002,9,26,84.5
2002,9,27,93.59
2002,9,28,106.09
2002,9,29,107.97
2002,9,30,108.8
2002,10,1,108.22
2002,10,2,109.12
2002,10,3,110.46
2002,10,4,107.99
2002,10,5,102.62
2002,10,6,99.89
2002,10,7,77.95
2002,10,8,90.68
2002,10,9,102.29
2002,10,10,105.99
2002,10,11,99.87
2002,10,12,91.67
2002,10,13,83.23
2002,10,14,90.45
2002,10,15,97.62
2002,10,16,98.96
2002,10,17,74.3
2002,10,18,87.41
2002,10,19,68.27
2002,10,20,78.16
2002,10,21,81.7
2002,10,22,85.24
2002,10,23,80.8
2002,10,24,85.3
2002,10,25,89.82
2002,10,26,86.38
2002,10,27,85.68
2002,10,28,83.82
2002,10,29,79.72
2002,10,30,75.63
2002,10,31,76.59
2002,11,1,81.55
2002,11,2,81.82
2002,11,3,81.96
2002,11,4,79.42
2002,11,5,82.17
2002,11,6,79.54
2002,11,7,77.24
2002,11,8,81.37
2002,11,9,74.29
2002,11,10,77.5
2002,11,11,80.15
2002,11,12,15.78
2002,11,13,75.59
2002,11,14,79.01
2002,11,15,78.05
2002,11,16,75.33
2002,11,17,74.98
2002,11,18,77.21
2002,11,19,78.82
2002,11,20,74.26
2002,11,21,70.72
2002,11,22,73.45
2002,11,23,75.94
2002,11,24,70.38
2002,11,25,71.6
2002,11,26,68.96
2002,11,27,65.13
2002,11,28,70.29
2002,11,29,72.83
2002,11,30,71.78
2002,12,1,69.98
2002,12,2,69.71
2002,12,3,61.31
2002,12,4,62.42
2002,12,5,59.34
2002,12,6,60.58
2002,12,7,67.48
2002,12,8,68.73
2002,12,9,69.72
2002,12,10,70.17
2002,12,11,66.97
2002,12,12,65.63
2002,12,13,64.48
2002,12,14,62.39
2002,12,15,61.07
2002,12,16,58.44
2002,12,17,54.62
2002,12,18,55.8
2002,12,19,48.93
2002,12,20,55.96
2002,12,21,66.68
2002,12,22,65.93
2002,12,23,44.46
2002,12,24,30.06
2002,12,25,51.14
2002,12,26,58.19
2002,12,27,46.97
2002,12,28,64.53
